Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
NC,5,3,10,264
NC,5,3,11,290
NC,5,3,12,314
NC,5,3,13,338
NC,5,3,14,362
NC,5,3,15,386
Vans,5,4,1,110
Vans,5,4,2,156
Vans,5,4,3,202
Vans,5,4,4,248
Vans,5,4,5,296
Vans,5,4,6,342
Vans,5,4,7,388
Vans,5,4,8,434
Vans,5,4,9,480
Vans,5,4,10,526
Vans,5,4,11,572
Vans,5,4,12,618
Vans,5,4,13,664
Vans,5,4,14,710
Vans,5,4,15,756
Simplified,5,4,1,77
Simplified,5,4,2,99
Simplified,5,4,3,121
Simplified,5,4,4,143
Simplified,5,4,5,165
Simplified,5,4,6,187
Simplified,5,4,7,209
Simplified,5,4,8,231
Simplified,5,4,9,253
Simplified,5,4,10,277
Simplified,5,4,11,299
Simplified,5,4,12,321
Simplified,5,4,13,343
Simplified,5,4,14,365
Simplified,5,4,15,387
NC,5,4,1,51
NC,5,4,2,80
NC,5,4,3,109
NC,5,4,4,138
NC,5,4,5,167
NC,5,4,6,196
NC,5,4,7,225
NC,5,4,8,254
NC,5,4,9,287
NC,5,4,10,316
NC,5,4,11,345
NC,5,4,12,374
NC,5,4,13,403
NC,5,4,14,432
NC,5,4,15,461
Vans,5,5,1,116
Vans,5,5,2,164
Vans,5,5,3,212
Vans,5,5,4,262
Vans,5,5,5,310
Vans,5,5,6,358
Vans,5,5,7,406
Vans,5,5,8,454
Vans,5,5,9,502
Vans,5,5,10,550
Vans,5,5,11,598
Vans,5,5,12,646
Vans,5,5,13,694
Vans,5,5,14,742
Vans,5,5,15,790
Simplified,5,5,1,83
Simplified,5,5,2,107
Simplified,5,5,3,131
Simplified,5,5,4,155
Simplified,5,5,5,179
Simplified,5,5,6,203
Simplified,5,5,7,227
Simplified,5,5,8,251
Simplified,5,5,9,277
Simplified,5,5,10,301
Simplified,5,5,11,325
Simplified,5,5,12,349
Simplified,5,5,13,373
Simplified,5,5,14,397
Simplified,5,5,15,421
NC,5,5,1,56
NC,5,5,2,90
NC,5,5,3,124
NC,5,5,4,158
NC,5,5,5,192
NC,5,5,6,226
NC,5,5,7,262
NC,5,5,8,298
NC,5,5,9,332
NC,5,5,10,366
NC,5,5,11,400
NC,5,5,12,434
NC,5,5,13,468
NC,5,5,14,502
NC,5,5,15,536
Vans,5,6,1,122
Vans,5,6,2,172
Vans,5,6,3,222
Vans,5,6,4,274
Vans,5,6,5,324
Vans,5,6,6,374
Vans,5,6,7,424
Vans,5,6,8,474
Vans,5,6,9,524
Vans,5,6,10,574
Vans,5,6,11,624
Vans,5,6,12,674
Vans,5,6,13,724
Vans,5,6,14,774
Vans,5,6,15,824
Simplified,5,6,1,89
Simplified,5,6,2,115
Simplified,5,6,3,141
Simplified,5,6,4,167
Simplified,5,6,5,193
Simplified,5,6,6,219
Simplified,5,6,7,245
Simplified,5,6,8,273
Simplified,5,6,9,299
Simplified,5,6,10,325
Simplified,5,6,11,351
Simplified,5,6,12,377
Simplified,5,6,13,403
Simplified,5,6,14,429
Simplified,5,6,15,455
NC,5,6,1,61
NC,5,6,2,100
NC,5,6,3,139
NC,5,6,4,178
NC,5,6,5,217
NC,5,6,6,258
NC,5,6,7,299
NC,5,6,8,338
NC,5,6,9,377
NC,5,6,10,416
NC,5,6,11,455
NC,5,6,12,494
NC,5,6,13,533
NC,5,6,14,572
NC,5,6,15,611
Vans,6,2,1,104
Vans,6,2,2,148
Vans,6,2,3,192
Vans,6,2,4,236
Vans,6,2,5,282
Vans,6,2,6,326
Vans,6,2,7,370
Vans,6,2,8,414
Vans,6,2,9,468
Vans,6,2,10,498
Vans,6,2,11,546
Vans,6,2,12,588
Vans,6,2,13,644
Vans,6,2,14,683
Vans,6,2,15,721
Simplified,6,2,1,70
Simplified,6,2,2,89
Simplified,6,2,3,108
Simplified,6,2,4,127
Simplified,6,2,5,146
Simplified,6,2,6,165
Simplified,6,2,7,184
Simplified,6,2,8,203
Simplified,6,2,9,228
Simplified,6,2,10,247
Simplified,6,2,11,268
Simplified,6,2,12,293
Simplified,6,2,13,306
Simplified,6,2,14,325
Simplified,6,2,15,338
NC,6,2,1,44
NC,6,2,2,66
NC,6,2,3,88
NC,6,2,4,110
NC,6,2,5,132
NC,6,2,6,154
NC,6,2,7,176
NC,6,2,8,198
NC,6,2,9,220
NC,6,2,10,242
NC,6,2,11,266
NC,6,2,12,290
NC,6,2,13,312
NC,6,2,14,334
NC,6,2,15,356
Vans,6,3,1,111
Vans,6,3,2,157
Vans,6,3,3,203
Vans,6,3,4,249
Vans,6,3,5,297
Vans,6,3,6,343
Vans,6,3,7,389
Vans,6,3,8,435
Vans,6,3,9,481
Vans,6,3,10,532
Vans,6,3,11,578
Vans,6,3,12,619
Vans,6,3,13,665
Vans,6,3,14,711
Vans,6,3,15,757
