Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
NC,4,5,9,276
NC,4,5,10,306
NC,4,5,11,334
NC,4,5,12,362
NC,4,5,13,390
NC,4,5,14,418
NC,4,5,15,446
Vans,4,6,1,112
Vans,4,6,2,184
Vans,4,6,3,258
Vans,4,6,4,330
Vans,4,6,5,402
Vans,4,6,6,474
Vans,4,6,7,546
Vans,4,6,8,620
Vans,4,6,9,700
Vans,4,6,10,782
Vans,4,6,11,864
Vans,4,6,12,946
Vans,4,6,13,1028
Vans,4,6,14,1110
Vans,4,6,15,1192
Simplified,4,6,1,80
Simplified,4,6,2,129
Simplified,4,6,3,178
Simplified,4,6,4,227
Simplified,4,6,5,278
Simplified,4,6,6,327
Simplified,4,6,7,376
Simplified,4,6,8,427
Simplified,4,6,9,486
Simplified,4,6,10,545
Simplified,4,6,11,604
Simplified,4,6,12,663
Simplified,4,6,13,722
Simplified,4,6,14,781
Simplified,4,6,15,840
NC,4,6,1,54
NC,4,6,2,86
NC,4,6,3,118
NC,4,6,4,150
NC,4,6,5,182
NC,4,6,6,214
NC,4,6,7,246
NC,4,6,8,282
NC,4,6,9,314
NC,4,6,10,346
NC,4,6,11,378
NC,4,6,12,410
NC,4,6,13,442
NC,4,6,14,474
NC,4,6,15,506
Vans,5,2,1,98
Vans,5,2,2,154
Vans,5,2,3,214
Vans,5,2,4,274
Vans,5,2,5,324
Vans,5,2,6,384
Vans,5,2,7,446
Vans,5,2,8,504
Vans,5,2,9,558
Vans,5,2,10,622
Vans,5,2,11,676
Vans,5,2,12,734
Vans,5,2,13,814
Vans,5,2,14,848
Vans,5,2,15,914
Simplified,5,2,1,65
Simplified,5,2,2,99
Simplified,5,2,3,133
Simplified,5,2,4,167
Simplified,5,2,5,201
Simplified,5,2,6,235
Simplified,5,2,7,277
Simplified,5,2,8,305
Simplified,5,2,9,339
Simplified,5,2,10,373
Simplified,5,2,11,407
Simplified,5,2,12,441
Simplified,5,2,13,481
Simplified,5,2,14,539
Simplified,5,2,15,567
NC,5,2,1,41
NC,5,2,2,60
NC,5,2,3,79
NC,5,2,4,98
NC,5,2,5,117
NC,5,2,6,136
NC,5,2,7,155
NC,5,2,8,174
NC,5,2,9,193
NC,5,2,10,212
NC,5,2,11,231
NC,5,2,12,250
NC,5,2,13,271
NC,5,2,14,292
NC,5,2,15,311
Vans,5,3,1,104
Vans,5,3,2,168
Vans,5,3,3,232
Vans,5,3,4,298
Vans,5,3,5,362
Vans,5,3,6,426
Vans,5,3,7,490
Vans,5,3,8,554
Vans,5,3,9,618
Vans,5,3,10,682
Vans,5,3,11,740
Vans,5,3,12,810
Vans,5,3,13,876
Vans,5,3,14,950
Vans,5,3,15,1019
Simplified,5,3,1,71
Simplified,5,3,2,111
Simplified,5,3,3,151
Simplified,5,3,4,191
Simplified,5,3,5,231
Simplified,5,3,6,273
Simplified,5,3,7,313
Simplified,5,3,8,353
Simplified,5,3,9,393
Simplified,5,3,10,433
Simplified,5,3,11,473
Simplified,5,3,12,513
Simplified,5,3,13,555
Simplified,5,3,14,605
Simplified,5,3,15,657
NC,5,3,1,46
NC,5,3,2,70
NC,5,3,3,94
NC,5,3,4,118
NC,5,3,5,142
NC,5,3,6,166
NC,5,3,7,190
NC,5,3,8,214
NC,5,3,9,238
NC,5,3,10,264
NC,5,3,11,290
NC,5,3,12,314
NC,5,3,13,338
NC,5,3,14,362
NC,5,3,15,386
Vans,5,4,1,110
Vans,5,4,2,180
Vans,5,4,3,250
Vans,5,4,4,322
Vans,5,4,5,392
Vans,5,4,6,462
Vans,5,4,7,532
Vans,5,4,8,602
Vans,5,4,9,676
Vans,5,4,10,746
Vans,5,4,11,826
Vans,5,4,12,910
Vans,5,4,13,986
Vans,5,4,14,1068
Vans,5,4,15,1150
Simplified,5,4,1,77
Simplified,5,4,2,123
Simplified,5,4,3,169
Simplified,5,4,4,215
Simplified,5,4,5,263
Simplified,5,4,6,309
Simplified,5,4,7,355
Simplified,5,4,8,401
Simplified,5,4,9,447
Simplified,5,4,10,495
Simplified,5,4,11,553
Simplified,5,4,12,611
Simplified,5,4,13,669
Simplified,5,4,14,727
Simplified,5,4,15,785
NC,5,4,1,51
NC,5,4,2,80
NC,5,4,3,109
NC,5,4,4,138
NC,5,4,5,167
NC,5,4,6,196
NC,5,4,7,225
NC,5,4,8,254
NC,5,4,9,287
NC,5,4,10,316
NC,5,4,11,345
NC,5,4,12,374
NC,5,4,13,403
NC,5,4,14,432
NC,5,4,15,461
Vans,5,5,1,116
Vans,5,5,2,192
Vans,5,5,3,270
Vans,5,5,4,346
Vans,5,5,5,422
Vans,5,5,6,498
Vans,5,5,7,574
Vans,5,5,8,652
Vans,5,5,9,738
Vans,5,5,10,826
Vans,5,5,11,914
Vans,5,5,12,1002
Vans,5,5,13,1090
Vans,5,5,14,1176
Vans,5,5,15,1268
Simplified,5,5,1,83
Simplified,5,5,2,135
Simplified,5,5,3,187
Simplified,5,5,4,239
Simplified,5,5,5,293
Simplified,5,5,6,345
Simplified,5,5,7,397
Simplified,5,5,8,451
Simplified,5,5,9,515
Simplified,5,5,10,579
Simplified,5,5,11,643
Simplified,5,5,12,707
Simplified,5,5,13,771
Simplified,5,5,14,835
Simplified,5,5,15,901
NC,5,5,1,56
NC,5,5,2,90
NC,5,5,3,124
NC,5,5,4,158
NC,5,5,5,192
NC,5,5,6,226
NC,5,5,7,262
NC,5,5,8,298
NC,5,5,9,332
NC,5,5,10,366
NC,5,5,11,400
NC,5,5,12,434
NC,5,5,13,468
NC,5,5,14,502
NC,5,5,15,536
Vans,5,6,1,122
Vans,5,6,2,204
Vans,5,6,3,288
Vans,5,6,4,370
Vans,5,6,5,452
Vans,5,6,6,534
Vans,5,6,7,622
Vans,5,6,8,714
Vans,5,6,9,808
Vans,5,6,10,902
Vans,5,6,11,996
Vans,5,6,12,1090
Vans,5,6,13,1184
Vans,5,6,14,1280
Vans,5,6,15,1374
Simplified,5,6,1,89
Simplified,5,6,2,147
Simplified,5,6,3,205
Simplified,5,6,4,265
Simplified,5,6,5,323
Simplified,5,6,6,381
Simplified,5,6,7,443
Simplified,5,6,8,513
Simplified,5,6,9,583
Simplified,5,6,10,653
Simplified,5,6,11,723
Simplified,5,6,12,793
Simplified,5,6,13,863
Simplified,5,6,14,935
Simplified,5,6,15,1005
NC,5,6,1,61
NC,5,6,2,100
NC,5,6,3,139
NC,5,6,4,178
NC,5,6,5,217
NC,5,6,6,258
NC,5,6,7,299
NC,5,6,8,338
NC,5,6,9,377
NC,5,6,10,416
NC,5,6,11,455
NC,5,6,12,494
NC,5,6,13,533
NC,5,6,14,572
NC,5,6,15,611
Vans,6,2,1,104
Vans,6,2,2,168
Vans,6,2,3,228
Vans,6,2,4,294
Vans,6,2,5,360
Vans,6,2,6,426
Vans,6,2,7,487
Vans,6,2,8,546
Vans,6,2,9,631
Vans,6,2,10,679
Vans,6,2,11,745
Vans,6,2,12,818
Vans,6,2,13,878
Vans,6,2,14,941
Vans,6,2,15,1032
Simplified,6,2,1,70
Simplified,6,2,2,109
Simplified,6,2,3,148
Simplified,6,2,4,187
Simplified,6,2,5,226
Simplified,6,2,6,273
Simplified,6,2,7,306
Simplified,6,2,8,345
Simplified,6,2,9,384
Simplified,6,2,10,423
Simplified,6,2,11,468
Simplified,6,2,12,501
Simplified,6,2,13,540
Simplified,6,2,14,603
Simplified,6,2,15,630
NC,6,2,1,44
NC,6,2,2,66
NC,6,2,3,88
NC,6,2,4,110
NC,6,2,5,132
NC,6,2,6,154
NC,6,2,7,176
NC,6,2,8,198
NC,6,2,9,220
NC,6,2,10,242
NC,6,2,11,266
NC,6,2,12,290
NC,6,2,13,312
NC,6,2,14,334
NC,6,2,15,356
Vans,6,3,1,111
Vans,6,3,2,182
Vans,6,3,3,253
Vans,6,3,4,328
Vans,6,3,5,397
Vans,6,3,6,468
Vans,6,3,7,536
Vans,6,3,8,620
Vans,6,3,9,681
Vans,6,3,10,749
Vans,6,3,11,828
